region,country,vegetable,dish,mix,dairy,sauce,herb,confectionery,spread,meat,bakery,cereal,alcohol,oil,additive,beverage,spice,condiment,fat,fruit,nut,legume,seasoning,vegetarian,seafood,vegan,tools,sweetener,seed,flavoring,fungi,flower
middle-eastern,turkish,246,4,5,167,21,173,1,8,55,26,47,7,122,12,141,415,46,0,34,1,4,53,25,1,1,1,80,4,21,2,0
european,portuguese,348,10,3,136,36,152,4,19,119,36,41,117,177,20,161,467,69,9,39,0,3,79,8,40,4,2,87,1,22,3,0
european,hungarian,423,12,5,289,40,58,8,22,167,21,20,34,104,16,116,349,57,10,11,2,0,58,25,3,5,2,79,44,7,8,0
african,brazilian,169,13,6,158,23,73,12,14,61,10,46,44,108,18,159,286,34,6,79,10,0,34,17,30,20,2,98,4,10,3,0
african,nigerian,30,2,1,6,2,7,0,9,14,1,8,0,22,1,19,84,5,0,6,1,0,4,1,3,1,1,6,1,1,1,0
african,ethiopian,104,0,0,40,6,30,0,6,18,6,2,10,37,3,55,332,16,1,2,1,2,12,5,0,2,1,10,0,0,0,0
african,sudanese,6,0,0,8,1,2,0,4,2,1,2,0,5,2,9,15,3,0,2,1,0,1,0,0,0,0,6,0,2,0,0
african,congolese,15,0,0,1,4,3,0,4,3,0,2,2,5,0,5,21,3,1,2,1,0,0,0,0,0,0,3,0,1,0,0
south-american,ecuadorean,42,0,1,29,4,16,0,3,8,1,10,6,17,0,24,49,10,1,9,1,0,11,4,7,0,1,11,1,1,0,0
central-american,costa-rican,39,1,1,18,9,15,1,0,11,3,9,5,17,2,23,48,4,1,7,1,0,9,4,2,1,0,8,1,2,0,0
south-american,peruvian,168,2,3,64,17,57,0,3,36,6,32,16,81,3,75,215,42,0,15,1,0,30,6,9,3,3,20,14,1,3,0
middle-eastern,egyptian,185,6,2,96,25,70,0,4,52,21,50,4,105,5,116,376,41,2,23,11,2,58,16,5,0,1,48,2,16,0,0
south-american,argentine,129,2,2,60,9,108,2,2,42,6,21,19,67,9,63,162,55,3,23,0,0,46,8,4,0,1,27,2,5,0,0
african,french,1180,61,60,1936,94,1007,68,47,516,289,93,577,582,86,558,2047,272,11,154,17,10,425,158,76,5,31,607,36,94,65,9
south-american,chilean,79,2,4,42,10,56,0,4,25,6,13,8,40,6,39,97,23,2,12,0,0,26,7,4,0,2,17,2,4,0,0
asian,malaysian,76,2,0,6,55,6,0,5,32,10,17,14,71,5,72,257,31,5,25,13,1,14,9,15,32,1,60,1,3,0,0
indian-subcontinent,nepalese,85,1,0,29,7,12,0,0,16,2,3,1,45,2,21,178,16,0,1,1,0,19,2,0,3,2,12,1,11,0,0
european,icelandic,25,1,3,48,7,5,3,2,4,3,4,8,10,11,17,62,8,0,4,1,0,8,2,10,1,0,22,1,2,0,0
south-american,brazilian,169,13,6,158,23,73,12,14,61,10,46,44,108,18,159,286,34,6,79,10,0,34,17,30,20,2,98,4,10,3,0
asian,vietnamese,427,18,5,18,334,134,0,19,133,25,75,25,208,4,214,514,105,1,65,8,0,54,18,64,33,3,251,4,9,3,0
european,norwegian,77,5,8,216,4,50,6,11,36,15,11,11,22,45,55,224,22,2,24,1,0,17,30,21,0,0,116,7,8,0,0
