,country,minutes,n_steps,n_ingredients,rating,region
0,american,112.9015799,9.927077505,9.206857965,4.336218111,north-american
1,angolan,43.3,7.9,7,4.041666667,african
2,argentine,71.66386555,10.74789916,10.31092437,4.258576069,south-american
3,australian,55.80534351,8.552671756,8.457633588,4.4927169,oceania
4,austrian,90.28289474,12.71052632,9.348684211,4.197572858,european
5,belgian,72.1292517,12.59183673,9.258503401,4.458111931,european
6,brazilian,80.88702929,9.468619247,8.707112971,4.16793288,south-american
7,canadian,132.1811996,9.736139113,9.017389113,4.334414291,north-american
8,caribbean,93.96108949,9.263035019,10.08560311,4.364956142,central-american
9,chilean,62.82666667,10.90666667,9.986666667,4.383625546,south-american
10,chinese,73.03581745,11.67128827,10.98209128,4.272219506,asian
11,congolese,52.4,9.1,9.6,4.25,african
12,costa-rican,85.23076923,8.307692308,8.58974359,4.165001296,central-american
13,cuban,126.454955,10.41441441,10.51801802,4.24886594,central-american
14,czech,120.4765625,12.4765625,8.8046875,3.951726716,european
15,danish,346.1238095,9.985714286,8.552380952,4.336069937,european
16,dutch,232.4611399,9.730569948,8.611398964,4.321254794,european
17,ecuadorean,51.43243243,10.18918919,10.10810811,4.147490347,south-american
18,egyptian,146.3076923,10.65641026,9.266666667,4.385121617,middle-eastern
19,english,180.7523892,10.50738488,8.675065161,4.302312732,european
20,ethiopian,58.58139535,9.651162791,10.86046512,4.1719575,african
21,filipino,310.8031088,10.56994819,9.621761658,3.786990574,asian
22,finnish,108.7633136,10.50887574,8.396449704,4.313210236,european
23,french,345.1783175,12.53732227,9.293838863,4.427902858,european
24,german,280.2737778,11.632,9.405333333,4.282473233,european
25,guatemalan,72.6875,8.46875,8.6875,4.176587302,central-american
26,honduran,51.35714286,11,11.64285714,3.626190476,central-american
27,hungarian,158.7720588,12.5625,10.10661765,4.005441551,european
28,icelandic,299.3636364,8.25,8.090909091,4.237878788,european
29,indian,98.27136076,10.90862342,11.57001582,4.237822517,indian subcontinent
30,indonesian,73.14507772,9.626943005,11.19689119,4.27751142,asian
31,iranian-persian,98.09166667,11.44583333,9.3375,4.22188802,middle-eastern
32,iraqi,101.5102041,10.89795918,9.520408163,4.365147268,middle-eastern
33,irish,268.5440901,10.77673546,8.951219512,4.325242445,european
34,italian,126.0373803,11.76166203,10.15848007,4.382985931,european
35,japanese,93.25848564,9.55613577,8.58616188,4.239234397,asian
36,korean,326.9545455,9.508264463,9.925619835,4.431045288,asian
37,laotian,30.625,9.6875,10,4.536458333,asian
38,lebanese,98.98425197,10.68110236,9.291338583,4.088387473,middle-eastern
39,libyan,46,8.333333333,8.75,4.27797619,african
40,malaysian,63.85046729,10.07476636,11.22429907,4.094057132,asian
41,mexican,95.46984698,10.17851785,10.06330633,4.388748698,north-american
42,micro-melanesia,98.10204082,9.795918367,8.693877551,4.328741497,oceania
43,middle-eastern,133.9940273,9.940273038,10.11262799,4.352369044,middle-eastern
44,mongolian,41.66666667,13.83333333,14.25,4.003065134,asian
45,moroccan,216.356711,10.75211608,12.08706167,4.499555798,african
46,namibian,61.83333333,9,8.833333333,4.75,african
47,nepalese,54.44680851,12.55319149,13.04255319,4.206737589,indian subcontinent
48,new-zealand,93.52018634,8.380434783,7.947204969,4.403475854,oceania
49,nigerian,60.48571429,11.51428571,9,4.039206349,african
50,norwegian,159.6914286,9.96,7.994285714,4.314324813,european
51,pakistani,63.11029412,10.83088235,12.27205882,4.308272059,indian subcontinent
52,peruvian,109.5948276,11.73275862,11.20689655,4.139326324,south-american
53,polish,397.7517007,11.8537415,9.299319728,3.962553717,european
54,portuguese,188.9726444,10.37082067,9.568389058,4.246962403,european
55,puerto-rican,78.57575758,9.131313131,9.01010101,4.152204524,central-american
56,russian,95.2654321,12.18518519,9.688271605,4.128727435,european
57,scandinavian,177.659919,10.62348178,8.979757085,4.588251735,european
58,scottish,302.9787234,10.01489362,7.729787234,4.254352488,european
59,somalian,27.44444444,8.777777778,7.111111111,4.575396825,african
60,south-african,79.23824451,10.80877743,10.31347962,4.310580106,african
61,spanish,83.57977528,10.37078652,9.750561798,4.474921612,european
62,sudanese,24.58333333,6.333333333,7.666666667,4.236111111,african
63,swedish,137.945122,10.46341463,8.87804878,4.395120805,european
64,swiss,112.745509,11.04491018,8.505988024,4.437364925,european
65,thai,56.49410698,10.07343608,11.74886673,4.299154957,asian
66,turkish,66.46613546,9.928286853,9.466135458,4.310227354,middle-eastern
67,vietnamese,107.2097264,11.14285714,11.82370821,4.32547938,asian
68,welsh,1819.46114,12.10880829,8.89119171,4.380146315,european
